guess1,guess2,ground_truth,clues
lassi,NA,lassi,"Quite a famous summer punjabi drink
It is made using curd"
dhol,giddha,bhangra,"this is the folk dance of punjab
it is generally performed by males"
lohri,NA,lohri,"this is a punjabi festival usually celebrated in winters
people make bonfires and kites are flown during the day"
holi,basant panchami,basant panchmi,"this is a punjabi festival celebrated to welcome the spring season
people usually dress up in yellow clothes and prepare dishes that are yellow in color"
chappal,mojari,punjabi jutti,"This is a kind of footwear that is worn by both men and women
it is usually made of leather and decorated with embroidery"
golden temple,gurudwara bangla sahib,virasat e khalsa,"This is a popular museum that is situated near anandpur sahib
it tells the history of sikhism and was built to celebrate the completion of 300 years of the formation of khalsa"
golden temple,NA,golden temple,"this is the sacred place for sikhs
it is situated in amritsar"
sunflower leaf chutney.,sarso ka saag.,sarson ka saag,"this is a food item that is usually had in winters
It is made using the leaves of the sunflower plant"
dupatta,salwar kameez,paranda,"this is something that punjabi ladies wear on their hair
they usually wear this on special occasions such as wedding or a festival
the women believe that by wearing this their hair will get longer and stronger"
"the social artifact i am thinking of is the ""guru granth sahib"".","the social artifact i am thinking of is the ""dasam granth"".",baba farid,"this person is a punjabi muslim preacher from 13th century
this person wrote many punjabi poems and epics
guru granth sahib, the holy book of sikhs also has some of their poems"
phulkari,kantha,nakashi,"this is a type of embroidery
wire like threads are used
this kind of embridery is mostly used for wedding dresses
this is more popular is punjabi muslim families"
sari,salwar kameez,saggi phull,"this is an essential punjabi jewellery worn by women
this is usually worn by women during a folk dance performance on their heads
it consists of one centerpiece flanked by two flowers on either side"
chhau mua (hand fan),pata (flat fan),pakhi,"this is an object that is used in summers
this is mostly used as an alternative to an electric fan
it is operated using hands"
sassi-punnu.,sohni mahiwal,heer ranjha,"this is a tragic love story of two lovers
this was composed by waris shah"
baisakhi,NA,baisakhi,"this is a festival that is celebrated in the month of april
it is also known as the harvest festival of punjab"
turban,dastaar,dastar,"this is a head gear
this is only worn by sikh men and women who have been baptized"
sona mundayi,karah,kaintha,"this is an ornament jewellery
this is usually worn by men on their necks
this is usually worn during a bhangra performance or on special occasions"
golden temple,gurudwara,gurudwara,this is a place of worship for sikhs
turban,NA,turban,"this is a head gear generally worn by sikh men
people of other religion can also wear this headgear"
mangalsutra,nath,chudha,"this is a kind of jewellery usually gifted to the bride on their wedding day by their maternal uncle
the bride is not supposed to see this jewellery before she has been wedded
they are required to wear this for a minimum of 40 days post their wedding"
lassi,NA,lassi,"Quite a famous summer punjabi drink
It is made using curd"
dhol,giddha,bhangra,"this is the folk dance of punjab
it is generally performed by males"
lohri,NA,lohri,"this is a punjabi festival usually celebrated in winters
people make bonfires and kites are flown during the day"
holi,basant panchami,basant panchmi,"this is a punjabi festival celebrated to welcome the spring season
people usually dress up in yellow clothes and prepare dishes that are yellow in color"
chappal,mojari,punjabi jutti,"This is a kind of footwear that is worn by both men and women
it is usually made of leather and decorated with embroidery"
golden temple,gurudwara bangla sahib,virasat e khalsa,"This is a popular museum that is situated near anandpur sahib
it tells the history of sikhism and was built to celebrate the completion of 300 years of the formation of khalsa"
golden temple,NA,golden temple,"this is the sacred place for sikhs
it is situated in amritsar"
sunflower leaf chutney,sarso ka saag,sarson ka saag,"this is a food item that is usually had in winters
It is made using the leaves of the sunflower plant"
dupatta,salwar kameez,paranda,"this is something that punjabi ladies wear on their hair
they usually wear this on special occasions such as wedding or a festival
the women believe that by wearing this their hair will get longer and stronger"
"the social artifact i am thinking of is the ""guru granth sahib"".","the social artifact i am thinking of is the ""dasam granth"".",baba farid,"this person is a punjabi muslim preacher from 13th century
this person wrote many punjabi poems and epics
guru granth sahib, the holy book of sikhs also has some of their poems"
phulkari,kantha,nakashi,"this is a type of embroidery
wire like threads are used
this kind of embridery is mostly used for wedding dresses
this is more popular is punjabi muslim families"
sari,salwar kameez,saggi phull,"this is an essential punjabi jewellery worn by women
this is usually worn by women during a folk dance performance on their heads
it consists of one centerpiece flanked by two flowers on either side"
chhau mua (hand fan),pata (flat fan),pakhi,"this is an object that is used in summers
this is mostly used as an alternative to an electric fan
it is operated using hands"
sassi-punnu.,sohni mahiwal,heer ranjha,"this is a tragic love story of two lovers
this was composed by waris shah"
baisakhi,NA,baisakhi,"this is a festival that is celebrated in the month of april
it is also known as the harvest festival of punjab"
turban,dastaar,dastar,"this is a head gear
this is only worn by sikh men and women who have been baptized"
sona mundayi,karah,kaintha,"this is an ornament jewellery
this is usually worn by men on their necks
this is usually worn during a bhangra performance or on special occasions"
golden temple,gurudwara,gurudwara,this is a place of worship for sikhs
turban,NA,turban,"this is a head gear generally worn by sikh men
people of other religion can also wear this headgear"
mangalsutra,nath,chudha,"this is a kind of jewellery usually gifted to the bride on their wedding day by their maternal uncle
the bride is not supposed to see this jewellery before she has been wedded
they are required to wear this for a minimum of 40 days post their wedding"
