guess1,guess2,ground_truth,clues
dosa,idli,churmure,"this dish is mostly eaten in north karnataka
this is a regular breakfast item
this dish is made of puffed rice"
akki roti,NA,akki roti,"this dish is made of rice flour
mostly eaten in north karnataka
this is usually had with chutney, sambar
this dish is paired specifically with pork curry in madikeri"
uppittu,holige,kadbu,"this dish is prepared during ugadi
this dish has both sweet and savoury variants"
akki roti,rotti,jolad roti,"this dish is more common in north karnataka
this is made of corn flour"
neer dosa,rava dosa,neer dose,"this type of dosa is popular in mangalore
this dish is usually had with chutney, chicken curry"
rave idli,masala dosa,kaal soup,"this is a leg soup
this dish is a Sunday staple for south karnataka people
this is generally available at millitary hotels all around karnataka"
gowri festival,ratha yatra,ugadi,"this day is also known as the new year for the people of karnataka
this day is celebrated as farmer's festival
on this day, people usually pray to their domestic animals such as cows, bulls"
garudi pooja,yakshagana,ayudha puje,"this day is usually celebrated as a part of navratri festival
on this day, machines, books and musical instruments are prayed to"
bakula.,kadumbari.,beegara oota,"this day happens after a kannada wedding
during this day the groom's family hosts a lunch for all the guests
the meal usually has to be a non-vegetarian meal"
kanchipuram saree,mysore silk saree,ilikal sarees,"these kind of sarees are quite famous in north karnataka
these sarees look like silk sarees
this saree is usually worn by people on special occasions"
yakshagana,NA,yakshagana,"this is the folk dance of karnataka
this is a dance drama that employs colorful costumes, makeup and costumes"
gulkand.,mysore pak,belgaum kunda,"this sweet is a milk based sweet
this dish is made of khawa
this dish is a staple in belgavi"
meenakari.,biryani,phool muddi,"a event a day or week before wedding where family members get to know each other.
at this event sambar is served with rice. Otherwise if Sambar is not served, there is always a gravy and non-gravy based dish. Some dishes are: Chana Gashi, Kochiniya or tondokayi and bibbo based dishes, masala rice, rice with rasam or some form of Sambar. 
The dinner usually ends with Payasam and buttermilk."
bevu-bella,ugadi pachadi,bevu bella,"this item is usually eaten during ugadi
this item is made using jaggery and is mixed with neem leaves
the sweet and bitter taste of this item signifies that the life ahead is a mix of sweet and bitter experiences"
gulab jamun,mysore pak,chiroti,"it is another sweet dish
this dish is made using sugar or jaggery with cold milk
this is a standard dish during south karnataka weddings"
gulab jamun,rasgulla,dharawad peda,"this sweet dish is quite popular in the dharawad district of north karnataka
this dish is made of milk"
